,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
30,317816,Tottenham,Birmingham,08/29/2009 15:00:00,1,9,8,4,2-1,3,3,0,1.36,4.75,9,1.35,4.25,8,1.38,4.6,7.5,1.35,4.5,8.5,1.33,4,81,78,78,79,73,75,71,74,41,23.3,20,249.2,6.08,36,25.5,18,63.5,1.76
31,317817,Aston Villa,Fulham,08/30/2009 16:00:00,12,3,13,3,2-0,2,2,0,1.73,3.6,5.25,1.65,3.5,4.75,1.73,3.5,4.75,1.77,3.45,4.45,1.73,3.4,82,79,76,79,76,76,77,76,31,25.5,13,160.4,5.17,42,25.3,28,92.8,2.21
32,317818,Everton,Wigan,08/30/2009 15:00:00,18,0,16,3,2-1,2,3,0,1.73,3.6,5.25,1.65,3.4,5,1.75,3.5,4.5,1.7,3.5,4.9,1.8,3.2,80,77,79,79,74,74,74,74,42,23.1,23,221.55,5.28,35,25.4,27,73.9,2.11
33,317819,Wolves,Hull,08/29/2009 15:00:00,14,3,14,3,1-1,3,3,0,2.1,3.3,3.6,2,3.15,3.5,2.05,3.25,3.5,2.2,3.2,3.2,2.1,3.2,75,72,69,72,70,72,73,73,37,24.1,19,59.7,1.61,37,26,23,75.65,2.04
34,317820,Blackburn,West Ham,08/29/2009 15:00:00,16,0,10,3,0-0,2,2,0,2.2,3.3,3.5,2.1,3.2,3.2,2.1,3.2,3.5,2.2,3.2,3.2,2.1,3.2,75,75,75,75,76,76,75,76,35,25.3,29,90.3,2.58,35,23.8,20,118.3,3.38
35,317821,Bolton,Liverpool,08/29/2009 15:00:00,17,0,11,3,2-3,2,3,0,7,4,1.53,6,3.75,1.5,6,3.75,1.55,6,3.7,1.55,5,3.5,77,75,73,75,88,82,81,82,32,25.3,18,85.33,2.67,30,24.4,24,336.6,11.22
36,317822,Portsmouth,Man City,08/30/2009 13:30:00,20,-9,5,6,0-1,3,2,0,6.5,3.8,1.57,6,3.7,1.5,6.25,3.6,1.57,5.3,3.5,1.65,4.5,3.5,75,74,74,75,84,80,80,81,45,25.4,29,99.85,2.22,40,24.1,24,314.9,7.87
37,317823,Stoke,Sunderland,08/29/2009 15:00:00,9,4,6,6,1-0,3,3,0,2.38,3.25,3.2,2.3,3.2,2.8,2.3,3.25,3,2.3,3.2,3,2.2,3.2,76,72,75,73,78,77,74,75,37,25.9,18,76.8,2.08,38,24.5,26,131.7,3.47
38,317824,Chelsea,Burnley,08/29/2009 12:45:00,2,9,7,6,3-0,3,3,0,1.14,8,21,1.1,8,15,1.15,7,15,1.17,6,15,1.14,6,85,84,84,83,75,72,70,72,33,25.5,24,443.9,13.45,33,25,20,38.45,1.17
39,317825,Liverpool,Burnley,09/12/2009 15:00:00,8,6,10,6,4-0,4,4,0,1.2,6.5,15,1.2,5.55,11,1.2,6,13,1.22,5.3,13,1.17,7,88,82,81,82,75,72,70,72,30,24.4,24,336.6,11.22,33,25,20,38.45,1.17
