,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
28,335020,Deportivo,Villarreal,09/27/2009 20:00:00,7.0,6.0,18,2.0,1-0,4,4,2.4,3.3,2.9,2.3,3.2,2.8,2.4,3.25,2.85,2.4,3.2,2.85,2.2,3.2,2.8,76,76,78,76,81,80,77,78,31,25.0,8,62.5,2.02,31,25.4,13,166.7,5.38
29,335030,Real Madrid,Tenerife,09/26/2009 17:00:00,2.0,12.0,10,6.0,3-0,4,4,1.11,8.5,21.0,1.08,8.0,19.0,1.12,8.0,17.0,1.12,7.0,22.0,1.12,6.5,13.0,83,85,82,83,73,73,71,72,31,24.5,16,489.4,15.79,24,26.0,4,21.6,0.9
30,335035,Zaragoza,Getafe,09/27/2009 18:00:00,14.0,4.0,8,6.0,3-0,4,4,2.2,3.25,3.3,2.2,3.25,2.95,2.25,3.2,3.1,2.3,3.3,2.9,2.1,3.2,3.0,75,74,74,74,78,75,76,75,37,25.5,18,87.5,2.36,29,25.4,9,73.5,2.53
31,335036,Valencia,Atletico,09/26/2009 21:00:00,6.0,7.0,19,2.0,2-2,4,4,1.91,3.4,4.0,1.8,3.35,4.0,1.9,3.5,3.75,1.85,3.5,3.8,1.8,3.3,3.75,86,79,79,80,85,81,76,79,34,24.6,10,213.8,6.29,37,23.1,16,210.4,5.69
32,335037,Almeria,Racing Santander,09/27/2009 16:00:00,11.0,5.0,15,4.0,2-2,4,4,2.25,3.25,3.2,2.15,3.2,3.1,2.2,3.2,3.2,2.0,3.3,3.6,2.1,3.2,3.0,76,74,70,74,77,75,74,75,25,25.4,13,64.4,2.58,34,24.4,9,78.7,2.31
33,335039,Xerez,Malaga,10/04/2009 16:00:00,20.0,1.0,17,3.0,1-1,5,5,2.4,3.3,2.88,2.3,3.25,2.8,2.4,3.25,2.85,2.5,3.2,2.7,2.38,3.2,2.6,73,71,70,72,75,76,73,74,26,26.5,8,32.5,1.25,37,24.4,13,60.8,1.64
34,335048,Sporting Gijon,Mallorca,10/04/2009 16:00:00,14.0,5.0,4,10.0,4-1,5,5,2.45,3.3,2.8,2.3,3.25,2.8,2.45,3.25,2.75,2.5,3.3,2.65,2.4,3.25,2.5,75,73,70,73,76,73,73,73,35,24.4,3,42.7,1.22,27,25.7,11,51.1,1.89
35,335050,Getafe,Osasuna,10/04/2009 16:00:00,12.0,6.0,9,7.0,2-1,5,5,2.05,3.3,3.6,2.0,3.3,3.35,2.0,3.3,3.6,1.9,3.3,3.9,1.91,3.25,3.4,78,75,76,75,75,74,73,74,29,25.4,9,73.5,2.53,27,26.4,7,54.8,2.03
36,335052,Atletico,Zaragoza,10/03/2009 21:00:00,18.0,3.0,8,7.0,2-1,5,5,1.57,3.8,6.0,1.55,3.6,5.6,1.6,3.75,5.25,1.6,3.7,5.4,1.62,3.5,4.5,85,81,76,79,75,74,74,74,37,23.1,16,210.4,5.69,37,25.5,18,87.5,2.36
37,335059,Xerez,Villarreal,10/18/2009 16:00:00,20.0,2.0,19,3.0,2-1,6,6,3.8,3.3,2.0,3.85,3.4,1.9,3.75,3.4,1.95,3.6,3.3,2.0,3.5,3.2,1.91,73,71,70,72,81,80,77,78,26,26.5,8,32.5,1.25,31,25.4,13,166.7,5.38
38,335061,Espanyol,Tenerife,10/18/2009 16:00:00,10.0,8.0,15,6.0,2-0,6,6,1.83,3.4,4.5,1.75,3.55,4.35,1.9,3.3,4.0,1.75,3.5,4.6,1.73,3.2,4.33,77,79,71,75,73,73,71,72,34,23.8,12,73.7,2.17,24,26.0,4,21.6,0.9
